Index,Category,Review
104,clean,Everything was very clean and breakfast was great!
105,clean,Rooms are well appointed and clean.
106,clean,"Great Hotel, Great Location Immaculate clean."
107,clean,The hotel is beautiful with great super clean rooms & amenities.
108,clean,"great rooms very clean, and a great breakfast."
109,clean,"The hotel is lovely, clean, and very comfortable."
110,clean,"After a quick panicked Google, we found Villa Brunel and managed to book immediately for our two night trip, and were surprised at how affordable it was given the location and last minute booking (£166 for a long weekend in Central Paris)   The hotel itself was pure luxury from what we came from and we found it to be so clean and comfortable."
111,clean,"We booked a double room which was small, but enough space for two for a weekend and the en-suite was clean and modern with a rain-fall shower head"
112,clean,The room was clean and it seemed to be very new.
113,clean,The room was very clean and cosy and both my partner and I agreed that we slept very comfortably.
114,clean,"Everyday cleaning, tea and coffee supply."
115,clean,The staff were very helpful and the rooms clean.
116,clean,The rooms in hotel are small but clean.
117,clean,Evry day cleaning.
118,clean,"The hotel had a well stocked buffet breakfast which includes hot items, and the facilities and rooms are clean and neat."
119,clean,The rooms are cosy and functional and very clean.
120,clean,"Check-in was quick and our room was spotlessly clean with comfy beds, which provided a good nights sleep after longs days of sightseeing and walking."
121,clean,"It is super clean and the insonorisation is good, nothing to say."
122,clean,I felt at ease there with every surface clean with attention to detail.
123,clean,"We booked a double room which was small, but enough space for two for a weekend and the en-suite was clean and modern with a rain-fall shower head"
124,clean,"The marble design on the wall behind the bed and in the shower, I’m so picky and very effected by the way a place looks and feels and the cleanliness… everything was immaculate."
125,clean,"Our rooms were spotless and I was amazed that they were fully cleaned each day, including fresh towels -  far more than I was expecting."
126,clean,"But they were fully equipped, very clean, comfortable bed with nightlights."
127,clean,"I'd recommend to anyone who is looking for a nice, clean hotel that's not right in the middle of all of the tourist traffic."
128,clean,"The hotel had a well stocked buffet breakfast which includes hot items, and the facilities and rooms are clean and neat."
129,comfort,Our room was small but bed as very comfortable and room was quiet.
130,comfort,"The location is great and the staff were fantastic, creating a very friendly atmosphere in a clean, tidy and comfortable setting."
131,comfort,"Irene and the rest of the staff provided exceptional service, Irene especially went the extra mile to ensure that me and my colleagues were comfortable."
132,comfort,"Breakfast was hearty, rooms were comfortable, and we felt the staff were all very helpful."
133,comfort,"The accommodation was beautifully appointed, clean and comfortable."
134,comfort,We had the best nights sleep as the beds were very comfortable and it was so quiet which I didn’t expect from being in the city.
135,comfort,Rooms were stylish and comfortable with great amenities.
136,comfort,"Great position, staff was really friendly and helpful, rooms are clean and comfortable."
137,comfort,"The lobby is very cute with comfortable sofas and a library full of books to read.Hotel serves free soft drinks,coffee and snacks every afternoon until late at night .We had a great time , and we would definitely stay there next time we are in Paris !"
138,comfort,"The hotel is at the centre of the Paris city, full of amenities the staffs are friendly and helpful, the rooms are comfortable and will give you a feeling of a modern hotel, the visit will be purposeful while you stay at this hotel."
139,comfort,Super clean and comfortable rooms.
140,comfort,Our bed was very comfortable--we slept well.
141,comfort,The room is large and comfortable.
142,comfort,"The room itself was very clean and comfortable, with premium fixtures."
143,comfort,Although the rooms are small - it’s Paris rooms are small everywhere - they are very comfortable and well appointed  The breakfast is not very exciting but there is equally nothing wrong with it and enjoying it in the garden certainly improves it.
144,comfort,"Wonderful room with very comfortable beds, nice view of the Eiffel Tower and great bathroom."
145,comfort,"the stay was really comfortable, the staff is polite, professional  and welcoming, the breakfast is excellent and the atmosphere is generally relaxing."
146,comfort,"Room is very big , clean , nice and comfortable ."
147,comfort,"Room is clean and comfortable, good location, hotel service and breakfast is nice also."
148,comfort,"We loved everything about it, from the great neighborhood, to the comfortable room, to the cool vibe, to the great breakfast."
149,comfort,"Lovely, comfortable rooms."
150,comfort,"My sister and I shared a room at this lovely, comfortable hotel for a week in May 2022."
151,comfort,"The room was bright, clean, and spacious and the rollout bed for my son was comfortable."
152,comfort,The rooms are clean and comfortable and the free mini bar with soft drinks is very welcome after a day on your feet.
153,comfort,"The rooms are intimate, small but comfortable."
154,comfort,"But they were fully equipped, very clean, comfortable bed with nightlights."
155,comfort,Room is not spacious but well equipped and comfortable.
156,comfort,The room was nice and very clean and the bed was comfortable.
157,comfort,we spent 3 nights in a simple but very comfortable room.
158,comfort,My room was very comfortable and cosy.
159,comfort,The rooms were clean and comfortable and the staff were excellent.
160,comfort,"We were delighted by the comfort, cleanliness and the overwhelming friendly staff."
161,comfort,We stayed two night’s and I have to say they were very comfortable too.
162,comfort,The beds are comfortable and rooms are lovingly decorated but compact - as is the norm for Paris.
163,comfort,"I was not disappointed, very clean, modern bathrooms, comfortable bed."
164,comfort,"very clean, perfect view, comfortable beds."
165,comfort,"The room was well appointed and comfortable, the front desk helpful."
166,comfort,The hotel was spotlessly clean and the beds were very comfortable which was great after a long day walking all over Paris.
167,comfort,"Bed was fairly comfortable, and the washroom was nice."
168,comfort,The suite is cosy and comfortable.
169,comfort,"Rooms are beautiful, amazing views, so clean and comfortable."
170,comfort,Rooms are sizeably comfortable.
171,comfort,"It was a fine stay, and I can recommend it for anyone that wants a clean and very comfortable room in an excellent location very close to Metro lines that can take you anywhere in the city in 15-20 minutes."
172,comfort,"We had a wonderful experience which included  the friendly, helpful staff, meals in the bar and comfortable room."
173,comfort,"The staff were friendly and helpful at check-in, my room was comfortable, clean and quiet and the breakfast was very good, but cost extra."
174,comfort,"The beds were new and very comfortable, the storage adequate and the en suite shower rooms, again, brand new with really powerful, hot showers, and hairdryers and toiletries."
175,comfort,"Charming little hotel, very comfortable, good breakfast, rooms compact, but well furnished."
176,comfort,"The beds are very comfortable, lockers are spacious."
177,comfort,The shower was one of our favorites of all the hostels we stayed in and the beds were decently comfortable with a nice amount of privacy with the curtain.
178,comfort,The bed is very comfortable and bathrooms are so clean and good.
179,comfort,"The bed was comfortable, and the view from the roof was amazing."
180,comfort,The room is big and the bed is comfortable  .The stuff are helpful and friendly especially Mr Alestin   He was very kind and helpful .The garden outside was very nice and interesting to smoke a cigarette out The coffe and tea nescaffe also are for free 24 hours.
181,comfort,"It was comfortable for us.This hotel is not cheap but was pretty good value in relation to other comparable hotels in Paris  To travel to central Paris and all the sights is pretty easy on the metro, You can also take a taxi or Uber which we paid about €15 from central Paris."
182,comfort,Our room looked great and the bed was comfortable.
183,comfort,"The hotel is lovely, clean, and very comfortable."
184,comfort,"After a quick panicked Google, we found Villa Brunel and managed to book immediately for our two night trip, and were surprised at how affordable it was given the location and last minute booking (£166 for a long weekend in Central Paris)   The hotel itself was pure luxury from what we came from and we found it to be so clean and comfortable."
185,comfort,"The bed was really comfortable, breakfast was great, and the night club just awesome."
186,comfort,The room was very clean and cosy and both my partner and I agreed that we slept very comfortably.
187,comfort,Rooms were small--of course--but the bed was very comfortable and everything worked.
188,comfort,"Nice room for 3 people at the top floor, good for travelling and short stay, we stayed only from evening to the morning, it was comfortable, there was some little details that could be improved in the equipment, but it didn't bother us to mention."
189,comfort,The bed was comfortable and the air conditioning worked fine.
190,comfort,Rooms are compact and comfortable.
191,comfort,We felt so comfortable at this hotel.
192,comfort,The room was not big but the bed was comfortable.
193,comfort,"Great welcome, safe and comfortable."
194,comfort,"Bed was fairly comfortable, and the washroom was nice."
195,comfort,Comfortable bed and room in a hotel just a stone’s throw from Gare du Nord.
196,comfort,Air con and large windows that open which is great for fresh air/temp control.
197,comfort,Our room looked great and the bed was comfortable.
198,comfort,"Private parking was very convenient, room was cozy and neat and the bed was very comfy!"
199,dark,The room also didn't have any lights other than on the nightstands.
200,dirty,Room was not cleaned one day and other occasions the bath/shower looked dirtier then when it was left.
201,dirty,"But fixing rooms, cleaners of shower (mold)."
202,dirty,"Of course the square footage is not something that be altered, but a touch of cleaning and painting would go a long way!"
203,dirty,Very small room not well serviced or cleaned.
204,dirty,- Signs everywhere advertising ‘cleaners on site 18 hours a day’ while it took them over 12 hours to mop up vomit in the hallway that has been reported numerous times.
205,dirty,"Even then, it wasn’t cleaned up properly."
206,dirty,"The room was quite big, but it the cleaning was not the best."
207,dirty,We had a slight problem in the bathroom in that the shower tray didn’t hold the water very well and so by the time we’d all had showers in the morning the bathroom looked flooded!
208,dirty,Room was not cleaned one day and other occasions the bath/shower looked dirtier then when it was left.
209,dirty,"There is a bar underneath the rooms which is nice but the rooms were dirty, smelly, the windows were locked shut, and filled with high schoolers who were obviously just looking for a place to hookup."
210,friendly,"Irene and the rest of the staff provided exceptional service, Irene especially went the extra mile to ensure that me and my colleagues were comfortable."
211,friendly,The staff was friendly and eager to please.
212,friendly,My friend and I (2 elderly British ladies) had carried our booking over for the 2 years of Covid and the hotel honoured them with no increase in price at all.
213,friendly,"And yes, of course, a very fair rebate to all those quests inconvenienced."
214,friendly,"Even though it was just one day staying there, a day is enough to feel the staffs' kindness."
215,friendly,"The hotel is at the centre of the Paris city, full of amenities the staffs are friendly and helpful, the rooms are comfortable and will give you a feeling of a modern hotel, the visit will be purposeful while you stay at this hotel."
216,friendly,He was there to greet us for breakfast and his warm and friendly nature made us feel at home.
217,friendly,"From the moment we arrived, we were made to feel welcome and that each staff member was happy to see us and ready to take care of any need we might have."
218,friendly,"When our flight back to the states was cancelled 2 days in a row, the staff made arrangements for us to change rooms, schedule new airport transfers, and just helped us to feel calm and at home during a very stressful few days."
219,friendly,"The staff are so so kind and it feels like home, I would especially thank Laurent and Nirosha from the breakfast room and Lindy from the reception."
220,friendly,"I highly recommend a visit to the Generator, everyone was very kind and made me feel super welcome."
221,friendly,"The hotel offers refreshments throughout the day and evening, which was so lovely!"
222,friendly,Refreshments and snacks from 2 pm to 2 am were appreciated.
223,friendly,The breakfast was lovely and fresh and the breakfast staff so cheerie.
224,friendly,From 2pm daily they have snacks and refreshments on offer which is a lovely touch 4.
225,friendly,Free afternoon refreshments at this hotel (including cakes and Haribo's) and all their other hotels in the chain in Paris regardless of which of their hotels you are staying in.
226,friendly,"Highlight for the friendly and excellent receptionist Patrick, great service!"
227,friendly,"We were delighted with our time at La Maison Favart - excellent service, excellent amenities, excellent location."
228,friendly,"We were delighted by the comfort, cleanliness and the overwhelming friendly staff."
229,friendly,It’s delightful to see the same staff members have been retained for many years and I think it reflects well on the hotel.
230,friendly,Front desk was very helpful as we required assistance with local travel and flight logistics.
231,friendly,"His assistant Wissem, at the front desk, was a delight and of great help each day."
232,friendly,"We arrived late at night and were delighted to be greeted by the 24-hr porterage, and very relieved that the hotel has a lift!"
233,friendly,"Two highlights of our stay were getting to store our luggage as soon as we arrived in Paris (jet lagged at 7 AM of course), but we were able to check in a few hours early because"
234,friendly,"I arrived early from a long-haul flight and was hoping for an early check-in and luckily, after only an hour, they took care of me √√   The front desk team were very friendly, very professional and a delight to deal with √√   The hotel was very easy to find, a simple walk from Gare du Nord √√  The location is absolutely brilliant."
235,friendly,But the reception really did a great job looking through the trash and
236,friendly,Thanks to everyone for looking after us so well.
237,friendly,If you’re looking for a friendly and clean place to stay with a view stay here.
238,friendly,The Concierge was also super helpful with recommendations and pick ups/drop offs.
239,friendly,"I was satisfied, everything was fine, , friendly and helpful staff, room all you need: bathroom big enough, safe, mini bar, air condition (if you like),  property well, good breakfast, position near Metro I would book your hotel again"
240,friendly,The staff is very professional and accommodating.
241,friendly,"The staff couldn’t have been more pleasant , professional or helpful."
242,friendly,"We have made a few trips to Paris but this Hotel pleasantly surprised me with its amazing staffs, Immaculate facilities in the room, cleanliness."
243,friendly,The staff was extremely friendly and very accommodating.
244,friendly,"Even though it was just one day staying there, a day is enough to feel the staffs' kindness."
245,friendly,"The location is great and the staff were fantastic, creating a very friendly atmosphere in a clean, tidy and comfortable setting."
246,friendly,"The reception staff were genial, helpful and informative; the breakfast staff welcomed us each morning with a smile and an array of food choices; and our room was kept perfectly clean."
247,friendly,"Irene and the rest of the staff provided exceptional service, Irene especially went the extra mile to ensure that me and my colleagues were comfortable."
248,friendly,"The staff at the front desk, without exception, were helpful , accessible, kind, and  eager to make sure"
249,friendly,The staff are absolutely fabulous.
250,friendly,"Breakfast was hearty, rooms were comfortable, and we felt the staff were all very helpful."
251,friendly,Every single member of staff we encountered spoke to us in a friendly and welcoming way.
252,friendly,"The staff, every single one of them; the reception team, the restaurant team and the room attendants were just so lovely, helpful and friendly!"
253,friendly,It is very clean and the staff are all so helpful and friendly.
254,friendly,"This hotel is very clean, the staff is really nice and super helpfull."
255,friendly,The staff is really exceptional.
256,friendly,"Great position, staff was really friendly and helpful, rooms are clean and comfortable."
257,friendly,"The hotel is at the centre of the Paris city, full of amenities the staffs are friendly and helpful, the rooms are comfortable and will give you a feeling of a modern hotel, the visit will be purposeful while you stay at this hotel."
258,friendly,The staff is very kind.
259,friendly,34b is spotlessly clean with friendly and helpful staff.
260,friendly,The breakfast was lovely and fresh and the breakfast staff so cheerie.
261,friendly,"Breakfast was simple but still nice, with really friendly staff such as Merly and Taj."
262,friendly,An amazing hotel absolutely fantastic staff.
263,friendly,"The staff is very friendly, especially Tej."
264,friendly,"Service was excellent by the staff, especially Merly was super friendly and helpful."
265,friendly,"The service is wonderful, nothing is any trouble and all staff we interacted with were helpful and very welcoming 2."
266,friendly,"The staff were exceptionally nice, and very accommodating and kind to our 2 year old."
267,friendly,"The staff were all friendly, professional, accomodating and welcoming."
268,friendly,"This hotel is the perfect blend of old world Paris, modern appointments, nice-sized rooms, an enchanting garden, and a wonderful staff."
269,friendly,"From the moment we arrived, we were made to feel welcome and that each staff member was happy to see us and ready to take care of any need we might have."
270,friendly,All the staff were very friendly and helpful.
271,friendly,The courtyard garden is beautiful and the hotel staff was kind and professional.
272,friendly,Hotel is beautiful and the staff is extremely friendly & helpful.
273,friendly,This hotel and the wonderful staff (specially the bellmen) made our mother/daughter trip so much nicer.
274,friendly,"Great food and drinks, relaxing, quiet space and attentive staff."
275,friendly,"Top hotel,location,staff,rooms,service,lounge,restaurant,bar.Have stayed here many times but not during pandemi ,nice to see some familiar faces and note service still perfect.The restaurant is known for its fish and seafood,oysters perfect.Loung just moved,all new,not as inviting as before but much larger."
276,friendly,The hotel is a bit hard to get to by car but once there you are greeted by very friendly staff.
277,friendly,The staff were friendly and very helpful.
278,friendly,"the stay was really comfortable, the staff is polite, professional  and welcoming, the breakfast is excellent and the atmosphere is generally relaxing."
279,friendly,I thank the staff and Jonhataan who helped me with the latest check-out procedures.
280,friendly,The staff - everybody is prestative and most of them smile a lot.
281,friendly,"The staff was amazing, every one of them helped with our questions and made things easy for us."
282,friendly,"Especially, thank you for staff Nirosha for helping and care us"
283,friendly,"The staff are so so kind and it feels like home, I would especially thank Laurent and Nirosha from the breakfast room and Lindy from the reception."
284,friendly,Breakfast was fabulous- the member of staff was very welcoming every morning andcould not have been more helpful.
285,friendly,Lovely staff on reception and hotel foyer was very stylish.
286,friendly,Friendly staff who also spoke English.
287,friendly,The staff are very friendly and helpful.
288,friendly,The staff is very nice.
289,friendly,The staff was very helpful and friendly throughout our stay.
290,friendly,All of the staff were so friendly and helpful and helped us with any questions we had with a smile and patience.
291,friendly,The lovely staff who brought  up our breakfast even sang Happy Birthday to my friend.
292,friendly,"The staff was friendly, and spoke excellent English, which was incredibly helpful."
293,friendly,"We had our room serviced every day, and the staff did a great job."
294,friendly,"Really friendly,helpful staff from reception to the breakfast ladies."
295,friendly,Bedrooms and bar were all very clean and staff were all very helpful and friendly.
296,friendly,"The staff are so attentive and welcoming, and the room - what a view!"
297,friendly,The staff was friendly and eager to please.
298,friendly,Breakfast is more than adequate but above all the staff are among the friendliest I have ever met.
299,friendly,"The staff are fabulous, friendly and super helpful."
300,friendly,"Can't say enough about how great the staff of this hotel is, the front desk, the hotel manager (Sonya) and everyone else."
301,friendly,"It is a well-equipped establishment, and the staff is friendly and helpful."
302,friendly,Very helpful and nice staffs..  Will be back and also recommend to friends 😃
303,friendly,The staff were very nice and helpful.
304,friendly,"The staff was extremely helpful, calling cabs, giving directions etc and they all spoke English."
305,friendly,"Hotel Britannique is not a 5 stars hotel but their staffs provide you the same level of service, warm welcoming, cheerful, helpful and caring you."
306,friendly,"Super friendly staff, great location and facilities."
307,friendly,The staff was so friendly and helpful for anything we needed.
308,friendly,"Everyone on the staff was friendly and helpful, daily room service was incredible, the room had air conditioning which was a VERY nice surprise."
309,friendly,"The staff are wonderful, helpful and always ready to help."
310,friendly,"It is listed as a 3 star hotel but wow the staff offer a five star service, all the staff were kind , friendly and very patient."
311,friendly,Zahir and all the reception staff were wonderful as was Munya the lady who did the breakfast such a warm genuine lady.
312,friendly,Also lots of F&B options / supermarkets nearby Helpful staff - Staff was courteous and answered all our queries.
313,friendly,Friendly and helpful staff; hotel in a quiet area with nice cafes and restaurants within a short walking distance.
314,friendly,"It was an Excellent stay, a very good location, with very good services an breakfast and helpful staff."
315,friendly,Lovely staff.
316,friendly,The rooms were clean and comfortable and the staff were excellent.
317,friendly,The staff was pleasant and the room was always very clean.
318,friendly,"Passy Eiffel Hotel was in a great location, rooms lovely and staff were great."
319,friendly,"Perfect location, spotless little gem, very comfy beds, very quiet, well decorated, no fuss straight forward hotel, very helpful staff."
320,friendly,"The staff were really friendly, couldn't do enough to help us, and it has a plunge pool and sauna in the basement which is a great find in Paris."
321,friendly,The staff were all friendly and helpful.
322,friendly,"We were delighted by the comfort, cleanliness and the overwhelming friendly staff."
323,friendly,"When I go back to Paris, this will be my go to, it’s a lovely hotel where the staff can’t do enough for you."
324,friendly,The staff was friendly and helpful in helping us navigate Paris.
325,friendly,"Room and breakfast were lovely, staff was always friendly, and the location...I mean it is perfect in a great part of town with access to activities and food."
326,friendly,Delicious breakfast and excellent customer service with kind and very helpful staff.
327,friendly,"Fantastic, friendly and welcoming reception staff who found a room for me when I had issues with the Eurostar and had to stay an"
328,friendly,the staff is very very nice and funny.
329,friendly,- Staff were friendly and helpful; a staff member was available 24 hours a day.
330,friendly,"The staff is very friendly, kind and eager to help."
331,friendly,The front desk is staffed 24 hours and were very helpful with any of our requests.
332,friendly,the best think to admire in this Hotel is The Staff and at the end of the day if the staff is greeting you well after however your day has gone things seems to be best.
333,friendly,Hotel staff was very helpful and friendly.
334,friendly,"Great facilities, convenient location and really helpful friendly staff, highly recommend."
335,friendly,"I would say that a variation for breakfasts would make it even better but the quality was consistent  Anytime we wanted to go to a restaurant, the staff would phone & make the reservation for us which was appreciated"
336,friendly,The hotel is very clean and all staff are friendly and approachable.
337,friendly,The staff on reception were very friendly and offered us recommendations for our first time in Paris.
338,friendly,"Excellent modern Hotel: Friendly and helpful staff, very clean."
339,friendly,It is well served by a friendly and motivated young staff who really love their job.
340,friendly,"Great location, close to everything.The staff is super friendly, the best and kindest concierge ever."
341,friendly,"The room service staff was so nice and they delivered the food fast, warm and most importantly delicious."
342,friendly,"Great hotel, staff super friendly."
343,friendly,"All staff are extremely attentive, they helped us with taxis, airport transportation, made sure the room was always stocked with coffee, water and toiletries."
344,friendly,Helpful staff.
345,friendly,"Delicious breakfast, a great bar and friendly staff."
346,friendly,I observed the staff handling every frustrating question with grace and concern for the guests having trouble.
347,friendly,"Welcoming staff, awesome breakfast."
348,friendly,"We had a wonderful experience which included  the friendly, helpful staff, meals in the bar and comfortable room."
349,friendly,"The staff are lovely, always friendly, available and ready to help."
350,friendly,"The staff were friendly and helpful at check-in, my room was comfortable, clean and quiet and the breakfast was very good, but cost extra."
351,friendly,"The staff was incredibly helpful, including booking an early morning taxi to the airport."
352,friendly,"The hotel was clean and the staff were wonderfully friendly and helpful, especially since it was my wife’s first time in paris."
353,friendly,Hotel staff very friendly and helpful.
354,friendly,"Most important,  very friendly & helpful staff."
355,friendly,Very friendly staff.
356,friendly,But the best part of the stay was the friendly staff.
357,friendly,"Very friendly staff, nice and clean rooms, and fantastic value for Paris."
358,friendly,Front desk staff was super friendly.
359,friendly,The staff was very kind and helpful and the 24 hour service was efficient.
360,friendly,The staff were absolutely lovely and very helpful.
361,friendly,"Thank you Anka, and off course all the other staff members that we saw and helped us our stay!"
362,friendly,The hotel felt safe and I felt that I could trust the hotel staff.
363,friendly,The atmosphere of the place and the incredible staff were definitely the best part though.
364,friendly,The staff is very friendly and the location is very close to metro stations.
365,friendly,But the staff members were so kind and understanding - they went above and beyond during my stay.
366,friendly,"the staff members are absolutely lovely, and so are the people who were staying in!"
367,friendly,The staff was super nice and friendly as well.
368,friendly,"Perfect position very close to Gare du Nord, amazing service, the staff couldn’t have done any more to make us welcome."
369,friendly,Great front desk staff and thoughtful touches in this hotel.
370,friendly,The staff was very friendly and accomodating.
371,friendly,"The staff were excellent, knowledgeable, and friendly."
372,friendly,The front desk staff was very welcoming once we arrived.
373,friendly,The staff is very helpful and check in was very fast.
374,friendly,"Faced with this impossible situation, IHG's staff were the best."
375,friendly,The staff are very friendly & extremely helpful & accommodating they catered to our every need.
376,friendly,"Wonderful accommodations, unbelievably attentive staff that were always there to assist guests."
377,friendly,"All rooms were gorgeous (we had three) the views were amazing, great amenities and the staff were super helpful!"
378,friendly,The checkin staff are excellent as is the concierge service who  try their hardest to help you.
